series,model,overall_rmse,overall_mae,overall_r2
bar,Gradient Boosting,7.490347085127204,3.352380071380857,0.9186481118372842
bar,Gaussian Process Regression,7.8487400041662125,4.52130048637139,0.9143535482814524
bar,Adaptive Boosting,8.350237732030237,4.994553571428572,0.9086560452830199
bar,Extra Trees,9.598162906480946,7.27885211640207,0.8870326089380014
bar,Decision Tree,11.90708057405086,9.405833333333334,0.8395422978097675
bar,Bagging Regressor,12.894284565366252,9.945483482142858,0.81358447085416
bar,Random Forest,14.201912552475958,10.649431095650364,0.7741271154704554
bar,Polynomial Regression Degree 3,20.33457760275129,14.48011672793636,0.4762210209648448
bar,Support Vector Regression,21.76376782966211,12.311867421062232,0.4112792158705586
bar,Polynomial Regression Degree 2,22.500550285619056,17.075345427530564,0.40194725185028046
bar,Polynomial Ridge Degree 2,22.500550287433395,17.07526361925966,0.40194725175714385
bar,Linear Regression,24.02370698363448,17.586375268465023,0.3321183132319596
