model,OVERALL_MAE,OVERALL_RMSE,OVERALL_R2,OVERALL_Adj_R2,OVERALL_MAPE_percent,rank_by_overall_rmse
Gradient Boosting,3.1687329063870795,6.525074842751619,0.9455637350402234,0.9395152611558036,9.736368691795033,1
Gaussian Process Regression,3.929159497152678,6.822468374053738,0.9420084422883457,0.9355649358759397,15.476123070722688,2
Adaptive Boosting,3.8037878787878814,7.100246612458202,0.9339239374684735,0.9265821527427482,10.001709506065362,3
Extra Trees,5.775431818181824,7.822140196304651,0.9190809984302347,0.9100899982558164,15.623018357777784,4
K Nearest Neighbors Five,3.220000000000001,8.079737322128098,0.901002211606513,0.89000245734057,6.552485325108222,5
K Nearest Neighbors Three,3.220000000000001,8.079737322128098,0.901002211606513,0.89000245734057,6.552485325108222,6
Bagging Regressor,6.724683766233768,9.014969095534857,0.8883535513059304,0.8759483903399227,14.802704460405685,7
Polynomial Regression Degree 3,9.687263572354752,13.870493456673305,0.602676471343589,0.4323949590622701,19.710583943040504,8
Decision Tree,10.83068181818182,13.991555948773652,0.6394045833539457,0.5993384259488284,22.800886069516725,9
Polynomial Ridge Degree 3,10.18948263078555,14.08231914778145,0.596743573226068,0.4239193903229541,21.763256762801625,10
Support Vector Regression,8.160169082257129,14.799535325273247,0.5514224295634942,0.5015804772927714,15.128891198559003,11
Random Forest,11.056820383824304,14.939809844052284,0.6035202991550379,0.5594669990611532,25.364279416895236,12
Polynomial Regression Degree 2,13.704882266034115,16.96819961741376,0.5068381739464329,0.38354771743304106,31.19930956978714,13
Polynomial Ridge Degree 2,13.299339259050857,17.119353612750018,0.49915612214230565,0.3739451526778821,31.17984184084805,14
Linear Regression,14.261887336262951,18.50032274622348,0.4291297958482495,0.36569977316472163,35.28442817873522,15
Extreme Gradient Boosting,13.591325503262606,18.519856930816434,0.5366126757423844,0.48512519526931597,35.8066922066379,16
Lasso Regression,14.815903172651444,18.63968098754708,0.413695775824967,0.3485508620277411,36.757147188602005,17
Elastic Net Regression,18.5023261265749,24.128927451974704,0.188873342686506,0.09874815854056221,51.677587918437034,18
Ridge Regression,20.811291543939884,27.496566916122205,0.0012871413759703854,-0.10968095402669958,59.644939020137244,19
Histogram Gradient Boosting,20.825537190082642,27.516824615421722,0.0,-0.11111111111111116,59.69155634320034,20
Light Gradient Boosting,20.82553719540273,27.516824615421726,-2.220446049250313e-16,-0.11111111111111138,59.69155641166542,21
Stochastic Gradient Regression,65.49041319640749,70.31822686371589,-10.41255790285233,-11.680619892058147,43.18148569896135,22
